query,seed_eggNOG_ortholog,evalue,score,eggNOGs,domain,COG Cat.,eggNOG HMM Desc.,predicted name,GO_terms,EC,KEGG KO,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
WP_011094137.1,218491.ECA2593,5.40E-242,843.2,"COG0128@1|root,COG0128@2|Bacteria,1MWMK@1224|Proteobacteria,1RQ8U@1236|Gammaproteobacteria,1MQYC@122277|Pectobacterium",1236|Gammaproteobacteria,E,Catalyzes the transfer of the enolpyruvyl moiety of phosphoenolpyruvate (PEP) to the 5-hydroxyl of shikimate-3- phosphate (S3P) to produce enolpyruvyl shikimate-3-phosphate and inorganic phosphate,aroA,"GO:0003674,GO:0003824,GO:0003866,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0008150,GO:0008152,GO:0009058,GO:0009423,GO:0009987,GO:0016053,GO:0016740,GO:0016765,GO:0019752,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046417,GO:0071704,GO:1901576",2.5.1.19,ko:K00800,"ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230",M00022,R03460,RC00350,"ko00000,ko00001,ko00002,ko01000",-,-,"iEC042_1314.EC042_0998,iECNA114_1301.ECNA114_0940,iECSF_1327.ECSF_0829,iPC815.YPO1390",EPSP_synthase
WP_011094138.1,218491.ECA2594,2.80E-207,727.6,"COG1932@1|root,COG1932@2|Bacteria,1MUB5@1224|Proteobacteria,1RMKU@1236|Gammaproteobacteria,1MQQD@122277|Pectobacterium",1236|Gammaproteobacteria,H,Catalyzes the reversible conversion of 3- phosphohydroxypyruvate to phosphoserine and of 3-hydroxy-2-oxo-4- phosphonooxybutanoate to phosphohydroxythreonine,serC,"GO:0003674,GO:0003824,GO:0004648,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006081,GO:0006082,GO:0006520,GO:0006553,GO:0006563,GO:0006564,GO:0006725,GO:0006732,GO:0006766,GO:0006767,GO:0006793,GO:0006796,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0008483,GO:0008652,GO:0009058,GO:0009066,GO:0009067,GO:0009069,GO:0009070,GO:0009085,GO:0009089,GO:0009108,GO:0009110,GO:0009987,GO:0016053,GO:0016740,GO:0016769,GO:0017144,GO:0018130,GO:0019438,GO:0019637,GO:0019752,GO:0019842,GO:0030170,GO:0033359,GO:0034641,GO:0036094,GO:0042364,GO:0042816,GO:0042819,GO:0042822,GO:0042823,GO:0043167,GO:0043168,GO:0043436,GO:0043648,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046184,GO:0046394,GO:0046451,GO:0046483,GO:0048037,GO:0050662,GO:0051186,GO:0051188,GO:0070279,GO:0071704,GO:0072524,GO:0072525,GO:0090407,GO:0097159,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607,GO:1901615,GO:1901617",2.6.1.52,ko:K00831,"ko00260,ko00680,ko00750,ko01100,ko01120,ko01130,ko01200,ko01230,map00260,map00680,map00750,map01100,map01120,map01130,map01200,map01230","M00020,M00124","R04173,R05085","RC00006,RC00036","ko00000,ko00001,ko00002,ko01000,ko01007",-,-,"iEcE24377_1341.EcE24377A_1004,iPC815.YPO1389,iYL1228.KPN_00935",Aminotran_5
WP_011094139.1,218491.ECA2595,0,1189.9,"COG1944@1|root,COG1944@2|Bacteria,1MV7K@1224|Proteobacteria,1RN47@1236|Gammaproteobacteria,1MRZ2@122277|Pectobacterium",1236|Gammaproteobacteria,S,"YcaO cyclodehydratase, ATP-ad Mg2+-binding",ycaO,"GO:0000287,GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006464,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0018193,GO:0018197,GO:0018198,GO:0018339,GO:0019538,GO:0036211,GO:0043167,GO:0043169,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0046872,GO:0047429,GO:0047693,GO:0071704,GO:1901564",-,ko:K09136,-,-,-,-,"ko00000,ko03009",-,-,-,"OsmC,YcaO"
WP_011094140.1,218491.ECA2596,5.90E-160,570.1,"COG2116@1|root,COG2116@2|Bacteria,1MU0W@1224|Proteobacteria,1RQ6K@1236|Gammaproteobacteria,1MRQ8@122277|Pectobacterium",1236|Gammaproteobacteria,P,Formate/nitrite transporter,focA,"GO:0003674,GO:0005215,GO:0005342,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006820,GO:0006855,GO:0008028,GO:0008150,GO:0008509,GO:0008514,GO:0015075,GO:0015238,GO:0015318,GO:0015499,GO:0015711,GO:0015718,GO:0015724,GO:0015849,GO:0015893,GO:0016020,GO:0016021,GO:0022857,GO:0031224,GO:0031226,GO:0034220,GO:0042221,GO:0042493,GO:0042802,GO:0042891,GO:0042895,GO:0044425,GO:0044459,GO:0044464,GO:0046942,GO:0046943,GO:0050896,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071944,GO:0098656,GO:1903825,GO:1905039",-,ko:K06212,-,-,-,-,"ko00000,ko02000","1.A.16.1.1,1.A.16.1.3",-,"iSF_1195.SF0899,iS_1188.S0963",Form_Nir_trans
WP_011094141.1,218491.ECA2597,0,1524.2,"COG1882@1|root,COG1882@2|Bacteria,1MWBF@1224|Proteobacteria,1RM96@1236|Gammaproteobacteria,1MQPV@122277|Pectobacterium",1236|Gammaproteobacteria,H,formate acetyltransferase,pflB,"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006566,GO:0006567,GO:0006807,GO:0008150,GO:0008152,GO:0008861,GO:0009056,GO:0009063,GO:0009066,GO:0009068,GO:0009987,GO:0016054,GO:0016407,GO:0016408,GO:0016453,GO:0016740,GO:0016746,GO:0016747,GO:0019752,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044281,GO:0044282,GO:0044424,GO:0044444,GO:0044464,GO:0046395,GO:0071704,GO:1901564,GO:1901565,GO:1901575,GO:1901605,GO:1901606",2.3.1.54,ko:K00656,"ko00620,ko00640,ko00650,ko01100,ko01120,map00620,map00640,map00650,map01100,map01120",-,"R00212,R06987","RC00004,RC01181,RC02742,RC02833","ko00000,ko00001,ko01000",-,-,"iECH74115_1262.ECH74115_1064,iECIAI39_1322.ECIAI39_2245,iECSP_1301.ECSP_1007,iECs_1301.ECs0986,iEcSMS35_1347.EcSMS35_2218,iG2583_1286.G2583_1138,iSDY_1059.SDY_2358,iZ_1308.Z1248","Gly_radical,PFL-like"
WP_011094142.1,218491.ECA2598,1.50E-67,261.9,"2EJRX@1|root,33DGP@2|Bacteria,1NI8N@1224|Proteobacteria,1SPW0@1236|Gammaproteobacteria",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WP_011094143.1,218491.ECA2599,7.80E-41,172.6,"2DEYQ@1|root,2ZPT3@2|Bacteria,1PACY@1224|Proteobacteria,1SVJ3@1236|Gammaproteobacteria,1MTYI@122277|Pectobacterium",1236|Gammaproteobacteria,S,Ogr/Delta-like zinc finger,-,-,-,-,-,-,-,-,-,-,-,-,Ogr_Delta
WP_011094145.1,218491.ECA2601,7.00E-228,796.2,"COG3497@1|root,COG3497@2|Bacteria,1MW1V@1224|Proteobacteria,1RNUT@1236|Gammaproteobacteria,1MTCC@122277|Pectobacterium",1236|Gammaproteobacteria,S,Phage tail sheath C-terminal domain,fI,-,-,ko:K06907,-,-,-,-,ko00000,-,-,-,"Phage_sheath_1,Phage_sheath_1C"
WP_011094146.1,218491.ECA2602,1.40E-92,345.5,"COG3498@1|root,COG3498@2|Bacteria,1Q8HB@1224|Proteobacteria,1TAFG@1236|Gammaproteobacteria,1MTUN@122277|Pectobacterium",1236|Gammaproteobacteria,S,Phage tail tube protein FII,-,-,-,ko:K06908,-,-,-,-,ko00000,-,-,-,Phage_tube
WP_011094147.1,218491.ECA2603,1.60E-46,191.8,"2DPGX@1|root,3320Q@2|Bacteria,1N7JH@1224|Proteobacteria,1SDWV@1236|Gammaproteobacteria,1MTX6@122277|Pectobacterium",1236|Gammaproteobacteria,S,tail protein,-,-,-,-,-,-,-,-,-,-,-,-,Phage_TAC_7
WP_011094148.1,568768.CM001975_gene2275,1.50E-09,67.8,"2EG0C@1|root,339SE@2|Bacteria,1NGFK@1224|Proteobacteria,1SY4D@1236|Gammaproteobacteria,2JEJX@204037|Dickeya",1236|Gammaproteobacteria,S,Phage P2 GpE,-,-,-,-,-,-,-,-,-,-,-,-,Phage_P2_GpE
WP_011094149.1,218491.ECA2605,0,1787.3,"COG5283@1|root,COG5283@2|Bacteria,1NFKU@1224|Proteobacteria,1RP2D@1236|Gammaproteobacteria,1MT7G@122277|Pectobacterium",1236|Gammaproteobacteria,S,"TIGRFAM phage tail tape measure protein, TP901 family",-,-,-,-,-,-,-,-,-,-,-,-,PhageMin_Tail
WP_011094150.1,218491.ECA2606,1.10E-86,325.9,"COG3499@1|root,COG3499@2|Bacteria,1MZJ7@1224|Proteobacteria,1S3NI@1236|Gammaproteobacteria,1MTTP@122277|Pectobacterium",1236|Gammaproteobacteria,S,Phage P2 GpU,gpU,-,-,ko:K06906,-,-,-,-,ko00000,-,-,-,Phage_P2_GpU
WP_011094151.1,218491.ECA2607,2.60E-109,401.4,"COG2110@1|root,COG2110@2|Bacteria,1RDMN@1224|Proteobacteria,1S6U8@1236|Gammaproteobacteria,1MT6M@122277|Pectobacterium",1236|Gammaproteobacteria,S,"Caudovirales tail fibre assembly protein, lambda gpK",tfaE,-,-,-,-,-,-,-,-,-,-,-,Caudo_TAP
WP_011094152.1,218491.ECA2608,7.60E-302,1042.3,"COG5301@1|root,COG5301@2|Bacteria,1MWNN@1224|Proteobacteria,1RR74@1236|Gammaproteobacteria",1236|Gammaproteobacteria,M,tail collar domain protein,-,-,-,-,-,-,-,-,-,-,-,-,"Collar,DUF3751,Phage_fiber_2"
WP_011094154.1,218491.ECA2610,2.80E-152,544.7,"COG3948@1|root,COG3948@2|Bacteria,1MUFF@1224|Proteobacteria,1RNBJ@1236|Gammaproteobacteria,1MTGE@122277|Pectobacterium",1236|Gammaproteobacteria,S,Baseplate J-like protein,-,-,-,-,-,-,-,-,-,-,-,-,Baseplate_J
WP_011094155.1,218491.ECA2611,1.60E-61,241.9,"COG3628@1|root,COG3628@2|Bacteria,1N7WS@1224|Proteobacteria,1SCD1@1236|Gammaproteobacteria,1MTVK@122277|Pectobacterium",1236|Gammaproteobacteria,S,Gene 25-like lysozyme,-,-,-,ko:K06903,-,-,-,-,ko00000,-,-,-,GPW_gp25
WP_011094156.1,218491.ECA2612,5.80E-103,380.2,"COG4540@1|root,COG4540@2|Bacteria,1N2WK@1224|Proteobacteria,1RRER@1236|Gammaproteobacteria,1MTRN@122277|Pectobacterium",1236|Gammaproteobacteria,S,"Type VI secretion system, phage-baseplate injector",V,-,-,-,-,-,-,-,-,-,-,-,Phage_base_V
WP_011094157.1,218491.ECA2613,9.20E-110,402.9,"COG5005@1|root,COG5005@2|Bacteria,1MZCV@1224|Proteobacteria,1S3YZ@1236|Gammaproteobacteria,1MTSB@122277|Pectobacterium",1236|Gammaproteobacteria,S,Phage virion morphogenesis family,-,-,-,-,-,-,-,-,-,-,-,-,Phage_tail_S
WP_011094158.1,218491.ECA2614,4.40E-82,310.5,"2CBI4@1|root,32RTF@2|Bacteria,1MZ82@1224|Proteobacteria,1S5DY@1236|Gammaproteobacteria,1MTWG@122277|Pectobacterium",1236|Gammaproteobacteria,S,P2 phage tail completion protein R (GpR),R,-,-,-,-,-,-,-,-,-,-,-,P2_Phage_GpR
WP_011094161.1,218491.ECA2616,2.50E-100,371.3,"COG3926@1|root,COG3926@2|Bacteria,1MVXW@1224|Proteobacteria,1RRB6@1236|Gammaproteobacteria",1236|Gammaproteobacteria,S,secretion activating protein,-,-,-,-,-,-,-,-,-,-,-,-,"Glyco_hydro_108,PG_binding_3"
WP_011094162.1,218491.ECA2617,2.70E-46,191,"2CH69@1|root,32UHU@2|Bacteria,1N2ZU@1224|Proteobacteria,1SAR3@1236|Gammaproteobacteria,1MTVU@122277|Pectobacterium",1236|Gammaproteobacteria,S,Phage holin family 2,-,-,-,-,-,-,-,-,-,-,-,-,Phage_holin_3_2
WP_011094163.1,218491.ECA2618,2.90E-30,137.1,"COG5004@1|root,COG5004@2|Bacteria,1N81H@1224|Proteobacteria,1SCK4@1236|Gammaproteobacteria,1MTY1@122277|Pectobacterium",1236|Gammaproteobacteria,S,Phage Tail Protein X,-,-,-,-,-,-,-,-,-,-,-,-,Phage_tail_X
WP_011094164.1,218491.ECA2619,1.90E-86,325.1,"2CM6Y@1|root,32SDV@2|Bacteria,1N0DS@1224|Proteobacteria,1S9D3@1236|Gammaproteobacteria,1MTUS@122277|Pectobacterium",1236|Gammaproteobacteria,S,Phage head completion protein (GPL),L,-,-,-,-,-,-,-,-,-,-,-,Phage_GPL
WP_011094165.1,218491.ECA2620,2.00E-142,511.9,"2DKUP@1|root,30DH1@2|Bacteria,1RDUB@1224|Proteobacteria,1RRN1@1236|Gammaproteobacteria,1MTR9@122277|Pectobacterium",1236|Gammaproteobacteria,L,Phage small terminase subunit,M,-,-,-,-,-,-,-,-,-,-,-,Phage_term_smal
WP_011094166.1,218491.ECA2621,7.30E-197,693,"2CCQ9@1|root,2Z7HY@2|Bacteria,1MUWR@1224|Proteobacteria,1RPKI@1236|Gammaproteobacteria,1MTGR@122277|Pectobacterium",1236|Gammaproteobacteria,S,"Phage major capsid protein, P2 family",-,-,-,-,-,-,-,-,-,-,-,-,Phage_cap_P2
WP_011094167.1,218491.ECA2622,7.50E-152,543.1,"2CAV1@1|root,2ZBY8@2|Bacteria,1RAGI@1224|Proteobacteria,1RZFG@1236|Gammaproteobacteria,1MTTI@122277|Pectobacterium",1236|Gammaproteobacteria,S,Phage capsid scaffolding protein (GPO) serine peptidase,-,-,-,-,-,-,-,-,-,-,-,-,Phage_GPO
WP_011094168.1,218491.ECA2623,0,1177.5,"COG4373@1|root,COG4373@2|Bacteria,1MXYV@1224|Proteobacteria,1RMCC@1236|Gammaproteobacteria,1MT7Y@122277|Pectobacterium",1236|Gammaproteobacteria,L,Terminase RNaseH-like domain,P,-,-,-,-,-,-,-,-,-,-,-,"Terminase_5,Terminase_6,Terminase_6C"
WP_011094169.1,218491.ECA2624,1.90E-205,721.5,"COG4695@1|root,COG4695@2|Bacteria,1MWA5@1224|Proteobacteria,1RPXY@1236|Gammaproteobacteria,1MTBT@122277|Pectobacterium",1236|Gammaproteobacteria,S,Phage portal protein,Q,-,-,-,-,-,-,-,-,-,-,-,Phage_portal
WP_011094170.1,218491.ECA2625,1.10E-129,469.2,"COG0338@1|root,COG0338@2|Bacteria,1QDNB@1224|Proteobacteria,1RXZB@1236|Gammaproteobacteria",1236|Gammaproteobacteria,L,D12 class N6 adenine-specific DNA methyltransferase,-,-,-,-,-,-,-,-,-,-,-,-,MethyltransfD12
WP_011094172.1,218491.ECA2627,0,1634.8,"28HIF@1|root,2Z7TX@2|Bacteria,1MY24@1224|Proteobacteria,1RN69@1236|Gammaproteobacteria,1MT8F@122277|Pectobacterium",1236|Gammaproteobacteria,S,Bacteriophage replication gene A protein (GPA),-,-,-,-,-,-,-,-,-,-,-,-,Phage_GPA
WP_011094173.1,218491.ECA2628,7.20E-205,719.5,"COG0175@1|root,COG0175@2|Bacteria,1QF53@1224|Proteobacteria,1RN3J@1236|Gammaproteobacteria,1MT87@122277|Pectobacterium",1236|Gammaproteobacteria,EH,Phosphoadenosine phosphosulfate reductase family,-,-,-,-,-,-,-,-,-,-,-,-,PAPS_reduct
WP_011094174.1,218491.ECA2629,1.90E-163,581.6,"COG0338@1|root,COG0338@2|Bacteria,1P85S@1224|Proteobacteria,1RMNW@1236|Gammaproteobacteria,1MTDK@122277|Pectobacterium",1236|Gammaproteobacteria,L,D12 class N6 adenine-specific DNA methyltransferase,dam,-,2.1.1.72,ko:K06223,"ko03430,map03430",-,-,-,"ko00000,ko00001,ko01000,ko02048,ko03032,ko03400",-,-,-,MethyltransfD12
WP_011094175.1,218491.ECA2630,4.40E-174,617.1,"COG0847@1|root,COG0847@2|Bacteria,1R9YS@1224|Proteobacteria,1S23K@1236|Gammaproteobacteria,1MT9V@122277|Pectobacterium",1236|Gammaproteobacteria,L,"3' exoribonuclease, RNase T-like",-,-,-,-,-,-,-,-,-,-,-,-,DUF5051
WP_011094176.1,218491.ECA2631,5.70E-33,146.4,"2EG3V@1|root,339VV@2|Bacteria,1NMQK@1224|Proteobacteria,1SJ8M@1236|Gammaproteobacteria,1MTWM@122277|Pectobacterium",1236|Gammaproteobacteria,S,Protein of unknown function (DUF2732),-,-,-,-,-,-,-,-,-,-,-,-,DUF2732
WP_011094177.1,218491.ECA2632,1.90E-53,214.9,"2ECF0@1|root,336D7@2|Bacteria,1N9S6@1224|Proteobacteria,1SCSZ@1236|Gammaproteobacteria,1MTQQ@122277|Pectobacterium",1236|Gammaproteobacteria,S,Family of unknown function (DUF5347),-,-,-,-,-,-,-,-,-,-,-,-,DUF5347
WP_011094179.1,218491.ECA2634,6.50E-30,136,"2EMQQ@1|root,33FD7@2|Bacteria,1NJZB@1224|Proteobacteria,1SIJ8@1236|Gammaproteobacteria,1MTVM@122277|Pectobacterium",1236|Gammaproteobacteria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WP_011094180.1,218491.ECA2635,5.70E-64,250,"2C3G3@1|root,32XTH@2|Bacteria,1N1V6@1224|Proteobacteria,1S95F@1236|Gammaproteobacteria",1236|Gammaproteobacteria,S,to Bacteriophage P2 regulatory protein Cox SWALL VCOX_BPP2 (SWALL P07695) (91 aa) fasta scores E(),-,-,-,-,-,-,-,-,-,-,-,-,Phage_Cox
WP_011094181.1,218491.ECA2636,8.50E-50,202.6,"COG1396@1|root,COG1396@2|Bacteria,1N4N6@1224|Proteobacteria,1SAV6@1236|Gammaproteobacteria",1236|Gammaproteobacteria,K,Repressor protein C,-,-,-,-,-,-,-,-,-,-,-,-,HTH_3
WP_011094182.1,218491.ECA2637,6.30E-190,669.8,"COG0582@1|root,COG0582@2|Bacteria,1N45B@1224|Proteobacteria,1RNDM@1236|Gammaproteobacteria,1MTNK@122277|Pectobacterium",1236|Gammaproteobacteria,L,Phage integrase family,-,-,-,-,-,-,-,-,-,-,-,-,"Arm-DNA-bind_4,Phage_integrase"
WP_011094183.1,218491.ECA2639,4.50E-299,1033.1,"COG0145@1|root,COG0145@2|Bacteria,1MU2Y@1224|Proteobacteria,1RN6C@1236|Gammaproteobacteria,1MQ0T@122277|Pectobacterium",1236|Gammaproteobacteria,EQ,Hydantoinase/oxoprolinase N-terminal region,-,-,-,-,-,-,-,-,-,-,-,-,"Hydant_A_N,Hydantoinase_A"
WP_011094184.1,218491.ECA2640,1.50E-208,731.9,"COG3535@1|root,COG3535@2|Bacteria,1NCBV@1224|Proteobacteria,1RQF0@1236|Gammaproteobacteria,1MQR8@122277|Pectobacterium",1236|Gammaproteobacteria,S,Protein of unknown function (DUF917),-,-,-,ko:K09703,-,-,-,-,ko00000,-,-,-,DUF917
WP_011094185.1,218491.ECA2641,6.70E-232,809.7,"COG1457@1|root,COG1457@2|Bacteria,1NS07@1224|Proteobacteria,1RNHG@1236|Gammaproteobacteria,1MQET@122277|Pectobacterium",1236|Gammaproteobacteria,F,"Permease for cytosine/purines, uracil, thiamine, allantoin",-,-,-,ko:K10974,-,-,-,-,"ko00000,ko02000",2.A.39.1,-,-,Transp_cyt_pur
WP_011094186.1,218491.ECA2642,2.20E-176,624.8,"COG0583@1|root,COG0583@2|Bacteria,1QYAP@1224|Proteobacteria,1RYE8@1236|Gammaproteobacteria,1MR50@122277|Pectobacterium",1236|Gammaproteobacteria,K,LysR substrate binding domain,-,-,-,-,-,-,-,-,-,-,-,-,"HTH_1,LysR_substrate"
WP_011094187.1,218491.ECA2643,9.80E-211,739.2,"COG0477@1|root,COG2814@2|Bacteria,1MVUF@1224|Proteobacteria,1RP39@1236|Gammaproteobacteria,1MQU3@122277|Pectobacterium",1236|Gammaproteobacteria,EGP,MFS-type transporter,ycaD,"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944",-,ko:K08219,-,-,-,-,"ko00000,ko02000",2.A.1.26,-,-,"MFS_1,Sugar_tr"
WP_011094188.1,218491.ECA2644,5.40E-242,843.2,"COG0172@1|root,COG0172@2|Bacteria,1MUJF@1224|Proteobacteria,1RNAQ@1236|Gammaproteobacteria,1MQ10@122277|Pectobacterium",1236|Gammaproteobacteria,J,"Catalyzes the attachment of serine to tRNA(Ser). Is also able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L-seryl-tRNA(Sec), which will be further converted into selenocysteinyl-tRNA(Sec)",serS,"GO:0000287,GO:0003674,GO:0003824,GO:0004812,GO:0004828,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006434,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009059,GO:0009069,GO:0009070,GO:0009987,GO:0010467,GO:0016053,GO:0016070,GO:0016259,GO:0016260,GO:0016874,GO:0016875,GO:0019538,GO:0019752,GO:0034641,GO:0034645,GO:0034660,GO:0042802,GO:0043038,GO:0043039,GO:0043043,GO:0043167,GO:0043169,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046483,GO:0046872,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607",6.1.1.11,ko:K01875,"ko00970,map00970","M00359,M00360","R03662,R08218","RC00055,RC00523","ko00000,ko00001,ko00002,ko01000,ko01007,ko03016",-,-,iSDY_1059.SDY_2368,"Seryl_tRNA_N,tRNA-synt_2b"
WP_011094189.1,218491.ECA2645,6.40E-254,882.9,"COG2256@1|root,COG2256@2|Bacteria,1MUVS@1224|Proteobacteria,1RPBY@1236|Gammaproteobacteria,1MRWQ@122277|Pectobacterium",1236|Gammaproteobacteria,L,AAA C-terminal domain,rarA,"GO:0005575,GO:0005622,GO:0005623,GO:0005657,GO:0005694,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006310,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0030894,GO:0032991,GO:0032993,GO:0034641,GO:0034645,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044422,GO:0044424,GO:0044427,GO:0044446,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:1901360,GO:1901576",-,ko:K07478,-,-,-,-,ko00000,-,-,-,"AAA,AAA_assoc_2,MgsA_C,RuvB_N"
WP_011094190.1,218491.ECA2646,4.50E-114,417.2,"COG2834@1|root,COG2834@2|Bacteria,1PXDV@1224|Proteobacteria,1S9FW@1236|Gammaproteobacteria,1MS4I@122277|Pectobacterium",1236|Gammaproteobacteria,M,Participates in the translocation of lipoproteins from the inner membrane to the outer membrane. Only forms a complex with a lipoprotein if the residue after the N-terminal Cys is not an aspartate (The Asp acts as a targeting signal to indicate that the lipoprotein should stay in the inner membrane),lolA,"GO:0002790,GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0006810,GO:0008104,GO:0008150,GO:0008565,GO:0009306,GO:0009987,GO:0015031,GO:0015833,GO:0030288,GO:0030313,GO:0031975,GO:0032940,GO:0033036,GO:0034613,GO:0042597,GO:0042886,GO:0042953,GO:0042954,GO:0044464,GO:0044872,GO:0044873,GO:0044874,GO:0045184,GO:0046903,GO:0051179,GO:0051234,GO:0051641,GO:0070727,GO:0071702,GO:0071705,GO:0072321,GO:0072322,GO:0072323,GO:0072657",-,ko:K03634,-,-,-,-,ko00000,-,-,-,LolA
WP_011094191.1,218491.ECA2647,0,2098.6,"COG1674@1|root,COG1674@2|Bacteria,1MVPI@1224|Proteobacteria,1RM9A@1236|Gammaproteobacteria,1MQDE@122277|Pectobacterium",1236|Gammaproteobacteria,D,Ftsk_gamma,ftsK,"GO:0000920,GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006355,GO:0006950,GO:0006970,GO:0007059,GO:0008094,GO:0008150,GO:0009628,GO:0009651,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0015616,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019219,GO:0019222,GO:0031224,GO:0031226,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0033676,GO:0042221,GO:0042623,GO:0042802,GO:0043085,GO:0043565,GO:0044093,GO:0044425,GO:0044459,GO:0044464,GO:0045893,GO:0045935,GO:0046677,GO:0048518,GO:0048522,GO:0050789,GO:0050790,GO:0050794,GO:0050896,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0051301,GO:0051716,GO:0060255,GO:0065007,GO:0065009,GO:0070887,GO:0071236,GO:0071944,GO:0080090,GO:0097159,GO:0140097,GO:1901363,GO:1902680,GO:1903506,GO:1903508,GO:2000112,GO:2001141",-,ko:K03466,-,-,-,-,"ko00000,ko03036",3.A.12,-,-,"FtsK_4TM,FtsK_SpoIIIE,Ftsk_gamma"
